37840 //  3 Count Bout //  $41.31 //  $96.00 //  $192.00 // 
44971 //  Puzzle De Pon //  $45.00 //  $121.00 //  $242.00 // 
37895 //  Puzzled //  $43.13 //  $219.00 //  $438.00 // 
37852 //  Real Bout Fatal Fury //  $40.99 //  $78.57 //  $157.14 // 
37853 //  Real Bout Fatal Fury 2 //  $86.00 //  $107.58 //  $107.60 // 
37854 //  Real Bout Fatal Fury 3 //   //   //   // 
19947 //  Riding Hero //  $49.99 //  $99.28 //  $224.96 // 
39983 //  Robo Army //  $199.95 //  $449.00 //  $898.00 // 
39665 //  SNK vs. Capcom: SVC Chaos //  $315.90 //  $710.81 //  $1421.60 // 
35115 //  Samurai Shodown //  $38.58 //  $49.90 //  $137.36 // 
36726 //  Samurai Shodown II //  $55.00 //  $213.42 //  $247.37 // 
37813 //  Samurai Shodown III //  $57.48 //  $75.32 //  $174.06 // 
37822 //  Samurai Shodown IV //  $71.00 //  $153.49 //  $306.96 // 
37824 //  Samurai Shodown V //  $106.17 //  $133.62 //  $267.24 // 
67437 //  Samurai Shodown V Special //   //   //   // 
19952 //  Sengoku //  $65.32 //  $149.95 //  $293.95 // 
19988 //  Sengoku 2 //  $185.64 //  $694.48 //  $1388.96 // 
19989 //  Sengoku 3 //  $249.00 //  $540.87 //  $1081.74 // 
42347 //  Shock Troopers //  $78.93 //  $307.89 //  $615.78 // 
42348 //  Shock Troopers 2nd Squad //  $112.50 //  $247.50 //  $495.00 // 
39663 //  Soccer Brawl //  $49.99 //  $139.50 //  $279.00 // 
42346 //  Street Hoops //   //   //   // 
19945 //  Super Baseball 2020 //  $79.67 //  $166.41 //  $332.82 // 
38514 //  Super Sidekicks //  $50.00 //  $101.07 //  $202.14 // 
38517 //  Super Sidekicks 2 //  $35.45 //  $74.32 //  $148.62 // 
38518 //  Super Sidekicks 3 //  $22.87 //  $48.40 //  $96.80 // 
19946 //  The Super Spy //  $78.00 //  $82.59 //  $165.29 // 
38541 //  Thrash Rally //  $50.00 //  $99.99 //  $199.98 // 
12041 //  Top Hunter Roddy & Cathy //  $163.52 //  $387.00 //  $774.00 // 
35119 //  "Top Players Golf" //  $25.95 //  $85.00 //  $144.86 // 
38576 //  Viewpoint //  $66.47 //  $146.23 //  $299.10 // 
44972 //  Windjammers //  $150.01 //  $199.99 //  $399.98 // 
12042 //  World Heroes //  $34.19 //  $76.84 //  $154.34 // 
35117 //  World Heroes 2 //  $32.46 //  $188.49 //  $431.75 // 
39645 //  World Heroes 2 Jet //  $48.72 //  $96.37 //  $192.74 // 
